time realMass modelMass modelMassFirstDerivative massDeviation deviationOfMassDeviation massFirstDerivativeDeviation deviationOfMassFirstDerivativeDeviation massSecondDerivativeDeviation deviationOfMassSecondDerivativeDeviation integralPartOfThePower proportionalPartOfThePower differentialPartOfThePower powerDeviation power V_upper length meltLevelHeight radiusFromModelradiusFromReal radius
00:00:00 0.8272526818143581 0.8272526818143581 0.03259694301391981 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0556 0.0 0.0 0.0 12.319893787777815 6.67
00:00:05 1.3770861360264142 1.022834339897877 0.03259694301391981 0.3542517961285372 0.3542517961285372 0.059041966021422865 0.059041966021422865 0.009840327670237145 0.009840327670237145 7.085035922570744E-4 1.1808393204284574E-4 1.9680655340474288E-5 8.462681796403944E-4 0.0 0.0556 0.3336 0.0 11.552778886484413 9.856219416971665 6.67
00:00:12 1.7849134326151435 1.2184159979813958 0.03259694301391981 0.5664974346337477 0.2122456385052105 0.03537427308420175 -0.023667692937221117 -0.003944615489536853 -0.013784943159773997 4.24491277010421E-4 -4.7335385874442235E-5 -2.7569886319547994E-5 3.4958600481643077E-4 0.0 0.0556 0.6672 0.0 11.55277888648441 8.988991061417032 6.67
00:00:17 2.0512581361001394 1.4139976560649146 0.03259694301391981 0.6372604800352248 0.07076304540147715 0.011793840900246192 -0.023580432183955558 -0.00393007203065926 1.4543458877593583E-5 1.4152609080295432E-4 -4.716086436791112E-5 2.9086917755187167E-8 9.439431335279838E-5 0.0 0.0556 1.0008 0.0 11.55277888648441 6.018366339411865 6.67
00:00:23 1.9353204860521194 1.6095793141484334 0.03259694301391981 0.325741171903686 -0.31151930813153883 -0.0519198846885898 -0.06371372558883599 -0.010618954264805998 -0.006688882234146739 -6.230386162630777E-4 -1.27427451177672E-4 -1.3377764468293477E-5 -7.638438319090431E-4 0.0 0.0556 1.3344 0.0 11.55277888648441 4.2171549585088135 6.67
00:00:29 1.8796781964193106 1.8051609722319522 0.03259694301391981 0.0745172241873584 -0.2512239477163276 -0.04187065795272127 0.010049226735868534 0.0016748711226447558 0.012293825387450753 -5.024478954326553E-4 2.009845347173707E-5 2.4587650774901507E-5 -4.577617911860167E-4 0.0 0.0556 1.6680000000000001 0.0 11.55277888648441 8.622008339545285 6.67
00:00:36 2.360061182001867 2.000742630315471 0.03259694301391981 0.3593185516863957 0.2848013274990373 0.04746688791650622 0.08933754586922749 0.014889590978204581 0.013214719855559826 5.696026549980747E-4 1.78675091738455E-4 2.642943971111965E-5 7.747071864476493E-4 0.0 0.0556 2.0016000000000003 0.0 11.552778886484417 10.250023994526781 6.67
00:00:41 2.6149626609134375 2.19632428839899 0.03259694301391981 0.41863837251444735 0.05931982082805165 0.009886636804675275 -0.03758025111183094 -0.006263375185305157 -0.02115296616350974 1.186396416561033E-4 -7.516050222366189E-5 -4.230593232701948E-5 1.1732071054219409E-6 0.0 0.0556 2.3352000000000004 0.0 11.552778886484417 8.22191536042453 6.67
00:00:47 2.971891737412546 2.391905946482509 0.03259694301391981 0.5799857909300368 0.16134741841558942 0.026891236402598235 0.01700459959792296 0.00283409993298716 0.009097475118292318 3.2269483683117884E-4 3.400919919584592E-5 1.8194950236584635E-5 3.748989862636094E-4 0.0 0.0556 2.6688000000000005 0.0 11.552778886484417 1.9869349623636086 6.67
00:00:54 3.0727166937473935 2.587487604566028 0.03259694301391981 0.4852290891813653 -0.09475670174867146 -0.015792783624778577 -0.04268402002737681 -0.007114003337896135 -0.009948103270883295 -1.8951340349734292E-4 -8.536804005475362E-5 -1.989620654176659E-5 -2.9477765009386315E-4 0.0 0.0556 3.0024000000000006 0.0 11.552778886484417 7.818175303584839 6.67
00:00:59 3.452273399396955 2.7830692626495472 0.03259694301391981 0.6692041367474078 0.18397504756604244 0.03066250792767374 0.046455291552452316 0.007742548592075386 0.014856551929971522 3.679500951320849E-4 9.291058310490463E-5 2.9713103859943044E-5 4.905737820969326E-4 0.0 0.0556 3.3360000000000007 0.0 11.552778886484417 7.663966416840226 6.67
00:01:05 3.946227980217351 2.9786509207330663 0.03259694301391981 0.967577059484285 0.2983729227368772 0.049728820456146204 0.019066312528472466 0.003177718754745411 -0.004564829837329976 5.967458454737545E-4 3.813262505694493E-5 -9.129659674659951E-6 6.257488108560395E-4 0.0 0.0556 3.669600000000001 0.0 11.552778886484417 12.97851418546097 6.67
00:01:11 4.380749119684017 3.1742325788165853 0.03259694301391981 1.2065165408674319 0.2389394813831469 0.039823246897191154 -0.00990557355895505 -0.0016509289264925082 -0.0048286476812379195 4.778789627662938E-4 -1.98111471179101E-5 -9.65729536247584E-6 4.484105202859079E-4 0.0 0.0556 4.0032000000000005 0.0 11.552778886484417 12.411573996660481 6.67
00:01:17 4.792303373247053 3.3698142369001043 0.03259694301391981 1.422489136346949 0.21597259547951708 0.035995432579919516 -0.0038278143172716383 -6.379690528786064E-4 0.0010129598736139018 4.3194519095903416E-4 -7.655628634543277E-6 2.0259197472278037E-6 4.263154820717187E-4 0.0 0.0556 4.3368 0.0 11.552778886484417 10.733377680135716 6.67
00:01:24 5.206635863911878 3.5653958949836233 0.03259694301391981 1.641239968928255 0.21875083258130612 0.03645847209688435 4.630395169648374E-4 7.717325282747291E-5 7.151423057060793E-4 4.3750166516261224E-4 9.260790339296749E-7 1.4302846114121585E-6 4.3985802880795407E-4 0.0 0.0556 4.6704 0.0 11.552778886484417 8.772860776693179 6.67
